time,temperature_2m_max,temperature_2m_min
2026-02-27,23.0,18.6
2026-02-28,26.1,19.5
2026-03-01,25.1,19.9
2026-03-02,25.6,19.8
2026-03-03,24.8,20.6
2026-03-04,30.5,21.3
2026-03-05,31.1,21.0
2026-03-06,29.4,20.7
