time,temperature_2m_max,temperature_2m_min
2026-02-27,5.2,-4.7
2026-02-28,11.6,-0.4
2026-03-01,6.7,1.0
2026-03-02,1.7,-5.3
2026-03-03,2.3,-2.7
2026-03-04,9.1,-0.4
2026-03-05,6.1,4.2
2026-03-06,5.1,2.6
