time,temperature_2m_max,temperature_2m_min
2026-02-27,13.2,10.3
2026-02-28,10.7,6.9
2026-03-01,12.3,7.9
2026-03-02,15.9,9.4
2026-03-03,14.8,8.0
2026-03-04,12.4,7.0
2026-03-05,18.5,6.3
2026-03-06,12.6,8.0
