time,temperature_2m_max,temperature_2m_min
2026-02-27,14.2,7.7
2026-02-28,18.4,6.8
2026-03-01,16.7,5.2
2026-03-02,12.7,5.7
2026-03-03,7.6,3.3
2026-03-04,14.0,5.0
2026-03-05,14.9,1.8
2026-03-06,12.9,5.6
